Tabel Distribusi Frekuensi,,,,,,
Kelas,,,Frekuensi,fk*,mi,mi.fi
1333762,-,1348811,5,=D3,=1/2*(A3+C3),=F3*D3
1348812,-,1363861,3,=E3+D4,=1/2*(A4+C4),=F4*D4
1363862,-,1378911,4,=E4+D5,=1/2*(A5+C5),=F5*D5
1378912,-,1393961,4,=E5+D6,=1/2*(A6+C6),=F6*D6
1393962,-,1409011,4,=E6+D7,=1/2*(A7+C7),=F7*D7
1409012,-,1424061,4,=E7+D8,=1/2*(A8+C8),=F8*D8
,,,=SUM(D3:D8),,,=SUM(G3:G8)
,,,,,,
,,,,,,
,Mean,=G9/D9,,,,
,Median,=(A5-0.5)+15049.5*(((D9/2)-E4)/D5),,,,
,Modus,=(A3-0.5)+15049.5*(5/(5+8)),,,,
,Nilai Maksimal,=MAX(Lembar1!F7:F30),,,,
,Nilai Minimal,=MIN(Lembar1!F7:F30),,,,
,Range,=C15-C16,,,,
